	date	sensorName	time	value	worksession
0	13:12:18	lum	10:08:10	181.0	2
1	13:12:18	temp	10:08:10	23.0	2
2	13:12:18	hum	10:08:10	44.0	2
3	13:12:18	lum	10:08:18	183.0	2
4	13:12:18	temp	10:08:18	23.0	2
5	13:12:18	hum	10:08:18	44.0	2
6	13:12:18	lum	10:08:26	182.0	2
7	13:12:18	temp	10:08:26	23.0	2
8	13:12:18	hum	10:08:26	44.0	2
9	13:12:18	lum	10:08:34	178.0	3
10	13:12:18	temp	10:08:34	23.0	3
11	13:12:18	hum	10:08:34	44.0	3
12	8:1:19	lum	11:20:01	182.0	3
13	8:1:19	temp	11:20:01	23.0	3
14	8:1:19	hum	11:20:01	45.0	3
15	8:1:19	lum	11:20:09	177.0	3
16	8:1:19	temp	11:20:09	23.0	3
17	8:1:19	hum	11:20:09	44.0	3
18	8:1:19	lum	11:20:17	181.0	3
19	8:1:19	temp	11:20:17	23.0	3
20	8:1:19	hum	11:20:17	44.0	3
21	8:1:19	lum	11:20:25	182.0	3
22	8:1:19	temp	11:20:25	23.0	3
23	8:1:19	hum	11:20:25	44.0	3
24	8:1:19	lum	11:20:57	181.0	3
25	8:1:19	temp	11:20:57	23.0	3
26	8:1:19	hum	11:20:57	44.0	3
27	8:1:19	lum	11:21:05	182.0	3
28	8:1:19	temp	11:21:05	23.0	3
29	8:1:19	hum	11:21:05	44.0	3
30	8:1:19	lum	11:21:13	182.0	3
31	8:1:19	temp	11:21:13	23.0	3
32	8:1:19	hum	11:21:13	44.0	3
33	08:01:19	lum	11:21:53	183.0	3
34	08:01:19	temp	11:21:53	23.0	3
35	08:01:19	hum	11:21:53	44.0	3
36	08:01:19	lum	11:22:18	184.0	3
37	08:01:19	temp	11:22:18	23.0	3
38	08:01:19	hum	11:22:18	44.0	3
39	08:01:19	lum	11:22:26	184.0	3
40	08:01:19	temp	11:22:26	23.0	3
41	08:01:19	hum	11:22:26	44.0	3
42	08:01:19	lum	11:23:29	184.0	3
43	08:01:19	temp	11:23:29	23.0	3
44	08:01:19	hum	11:23:29	44.0	3
45	08:01:19	lum	11:23:37	183.0	3
46	08:01:19	temp	11:23:37	23.0	3
47	08:01:19	hum	11:23:37	45.0	3
48	08:01:19	lum	11:23:53	183.0	3
49	08:01:19	temp	11:23:53	23.0	3
50	08:01:19	hum	11:23:53	44.0	3
51	08:01:19	lum	11:24:09	184.0	3
52	08:01:19	temp	11:24:09	23.0	3
53	08:01:19	hum	11:24:09	44.0	3
54	08:01:19	lum	11:24:33	184.0	3
55	08:01:19	temp	11:24:33	23.0	3
56	08:01:19	hum	11:24:33	44.0	3
57	08:01:19	lum	11:25:05	184.0	3
58	08:01:19	temp	11:25:05	23.0	3
59	08:01:19	hum	11:25:05	44.0	3
60	08:01:19	lum	11:25:13	184.0	3
61	08:01:19	temp	11:25:13	23.0	3
62	08:01:19	hum	11:25:13	44.0	3
63	08:01:19	lum	11:26:49	186.0	3
64	08:01:19	temp	11:26:49	23.0	3
65	08:01:19	hum	11:26:49	44.0	3
66	08:01:19	lum	11:26:57	185.0	3
67	08:01:19	temp	11:26:57	23.0	3
68	08:01:19	hum	11:26:57	44.0	3
69	08:01:19	lum	11:27:05	180.0	3
70	08:01:19	temp	11:27:05	23.0	3
71	08:01:19	hum	11:27:05	44.0	3
72	08:01:19	lum	11:27:13	119.0	3
73	08:01:19	temp	11:27:13	23.0	3
74	08:01:19	hum	11:27:13	44.0	3
75	08:01:19	lum	11:27:37	186.0	3
76	08:01:19	temp	11:27:37	23.0	3
77	08:01:19	hum	11:27:37	44.0	3
78	08:01:19	lum	11:28:25	187.0	3
79	08:01:19	temp	11:28:25	23.0	3
80	08:01:19	hum	11:28:25	44.0	3
81	08:01:19	lum	11:28:33	186.0	3
82	08:01:19	temp	11:28:33	23.0	3
83	08:01:19	hum	11:28:33	44.0	3
84	08:01:19	lum	11:28:41	187.0	3
85	08:01:19	temp	11:28:41	23.0	3
86	08:01:19	hum	11:28:41	44.0	3
87	08:01:19	lum	11:28:49	186.0	3
88	08:01:19	temp	11:28:49	23.0	3
89	08:01:19	hum	11:28:49	44.0	3
90	08:01:19	lum	11:29:14	186.0	3
91	08:01:19	temp	11:29:14	23.0	3
92	08:01:19	hum	11:29:14	44.0	3
93	08:01:19	lum	11:29:22	187.0	3
94	08:01:19	temp	11:29:22	23.0	3
95	08:01:19	hum	11:29:22	44.0	3
96	08:01:19	lum	11:29:46	186.0	3
97	08:01:19	temp	11:29:46	23.0	3
98	08:01:19	hum	11:29:46	44.0	3
99	08:01:19	lum	11:29:54	186.0	3
100	08:01:19	temp	11:29:54	23.0	3
101	08:01:19	hum	11:29:54	44.0	3
102	08:01:19	lum	11:30:03	186.0	3
103	08:01:19	temp	11:30:03	23.0	3
104	08:01:19	hum	11:30:03	44.0	3
105	08:01:19	lum	11:32:29	186.0	3
106	08:01:19	temp	11:32:29	23.0	3
107	08:01:19	hum	11:32:29	45.0	3
108	08:01:19	lum	11:32:38	187.0	3
109	08:01:19	temp	11:32:38	23.0	3
110	08:01:19	hum	11:32:38	45.0	3
111	08:01:19	lum	11:32:46	185.0	3
112	08:01:19	temp	11:32:46	23.0	3
113	08:01:19	hum	11:32:46	45.0	3
114	08:01:19	lum	11:33:18	187.0	3
115	08:01:19	temp	11:33:18	23.0	3
116	08:01:19	hum	11:33:18	44.0	3
117	08:01:19	lum	11:33:26	186.0	3
118	08:01:19	temp	11:33:26	23.0	3
119	08:01:19	hum	11:33:26	45.0	3
120	08:01:19	lum	11:33:34	186.0	3
121	08:01:19	temp	11:33:34	23.0	3
122	08:01:19	hum	11:33:34	44.0	3
123	08:01:19	lum	11:33:42	186.0	3
124	08:01:19	temp	11:33:42	23.0	3
125	08:01:19	hum	11:33:42	44.0	3
126	08:01:19	lum	11:33:50	186.0	3
127	08:01:19	temp	11:33:50	23.0	3
128	08:01:19	hum	11:33:50	44.0	3
129	08:01:19	lum	11:33:58	186.0	3
130	08:01:19	temp	11:33:58	23.0	3
131	08:01:19	hum	11:33:58	44.0	3
132	08:01:19	lum	11:34:06	186.0	3
133	08:01:19	temp	11:34:06	23.0	3
134	08:01:19	hum	11:34:06	44.0	3
135	08:01:19	lum	11:35:58	186.0	3
136	08:01:19	temp	11:35:58	23.0	3
137	08:01:19	hum	11:35:58	45.0	3
138	08:01:19	lum	11:36:06	186.0	3
139	08:01:19	temp	11:36:06	23.0	3
140	08:01:19	hum	11:36:06	45.0	3
141	08:01:19	lum	11:37:42	185.0	3
142	08:01:19	temp	11:37:42	23.0	3
143	08:01:19	hum	11:37:42	45.0	3
144	08:01:19	lum	11:37:50	185.0	3
145	08:01:19	temp	11:37:50	23.0	3
146	08:01:19	hum	11:37:50	44.0	3
147	08:01:19	lum	11:37:58	185.0	3
148	08:01:19	temp	11:37:58	23.0	3
149	08:01:19	hum	11:37:58	44.0	3
150	08:01:19	lum	11:38:06	186.0	3
151	08:01:19	temp	11:38:06	23.0	3
152	08:01:19	hum	11:38:06	44.0	3
153	08:01:19	lum	11:38:14	187.0	3
154	08:01:19	temp	11:38:14	23.0	3
155	08:01:19	hum	11:38:14	45.0	3
156	08:01:19	lum	11:38:30	186.0	3
157	08:01:19	temp	11:38:30	23.0	3
158	08:01:19	hum	11:38:30	45.0	3
159	08:01:19	lum	11:38:38	37.0	4
160	08:01:19	temp	11:38:38	23.0	4
161	08:01:19	hum	11:38:38	45.0	4
162	08:01:19	lum	11:38:46	68.0	5
163	08:01:19	temp	11:38:46	23.0	5
164	08:01:19	hum	11:38:46	45.0	5
165	08:01:19	lum	11:38:54	44.0	5
166	08:01:19	temp	11:38:54	23.0	5
167	08:01:19	hum	11:38:54	45.0	5
168	08:01:19	lum	11:39:02	76.0	5
169	08:01:19	temp	11:39:02	23.0	5
170	08:01:19	hum	11:39:02	44.0	5
171	08:01:19	lum	11:41:34	174.0	5
172	08:01:19	temp	11:41:34	23.0	5
173	08:01:19	hum	11:41:34	45.0	5
174	08:01:19	lum	11:41:42	65.0	5
175	08:01:19	temp	11:41:42	23.0	5
176	08:01:19	hum	11:41:42	45.0	5
177	08:01:19	lum	11:41:50	158.0	5
178	08:01:19	temp	11:41:50	23.0	5
179	08:01:19	hum	11:41:50	45.0	5
180	08:01:19	lum	11:41:58	185.0	5
181	08:01:19	temp	11:41:58	23.0	5
182	08:01:19	hum	11:41:58	45.0	5
183	08:01:19	lum	11:42:06	186.0	5
184	08:01:19	temp	11:42:06	23.0	5
185	08:01:19	hum	11:42:06	44.0	5
186	08:01:19	lum	11:42:14	185.0	5
187	08:01:19	temp	11:42:14	23.0	5
188	08:01:19	hum	11:42:14	45.0	5
189	08:01:19	lum	11:42:22	181.0	5
190	08:01:19	temp	11:42:22	23.0	5
191	08:01:19	hum	11:42:22	45.0	5
192	08:01:19	lum	11:42:30	184.0	5
193	08:01:19	temp	11:42:30	23.0	5
194	08:01:19	hum	11:42:30	45.0	5
195	08:01:19	lum	11:42:38	159.0	5
196	08:01:19	temp	11:42:38	23.0	5
197	08:01:19	hum	11:42:38	44.0	5
198	08:01:19	lum	11:42:46	182.0	6
199	08:01:19	temp	11:42:46	23.0	6
200	08:01:19	hum	11:42:46	45.0	6
201	08:01:19	lum	11:42:55	175.0	6
202	08:01:19	temp	11:42:55	23.0	6
203	08:01:19	hum	11:42:55	45.0	6
204	08:01:19	lum	11:43:03	176.0	6
